Publications,Descriptions
2024,"F. J. Herráiz-Martínez, M. Pérez-Escribano, P. Sofokleous, P. Padilla, E. Márquez-Segura, 
""Miniaturized Top-Metalized 3D-printed Rectangular Dielectric Resonator Antenna,"" 
AP-S URSI, 2024, Firenze, Italy"
2024,"S. Moreno-Rodríguez, M. Pérez-Escribano, S. Ortiz-Ruiz, A. Álex-Amor, B. Plaza-Gallardo, F. G. Ruiz, C. Molero, 
""Reference-Plane Invariant Free Space Dielectric Material Characterization up to 330 GHz,"" 
URSI AT-RASC, 2024, Gran Canaria, Spain"
2024,"M. Pérez-Escribano, S. Moreno-Rodríguez, A. Álex-Amor, J.F. Valenzuela-Valdés, P. Padilla, C. Molero, 
""Analytical Method to Model Spatiotemporal Metasurfaces,"" 
URSI AT-RASC, 2024, Gran Canaria, Spain"
2024,"S. Moreno-Rodríguez, M. Pérez-Escribano, S. Ortiz-Ruiz, F. G. Ruiz, B. Plaza-Gallardo, C. Molero, E. Márquez-Segura, 
""Setup for Material Characterization in the 110-170 GHz Band,"" 
AP-S URSI, 2024, Firenze, Italy"
2024,"J.C. Sánchez Paredes and E. Márquez Segura, 
""Metal Fused Filament Fabrication of corrugated horns for mmWave aplications"", 
XXXIX Simposium Nacional de la Unión Científica Internacional de Radio (URSI), 2024, Cuenca, Spain"
2024,"P. Mateos-Ruiz, E. Abdo-Sánchez and C. Camacho-Peñalosa, 
“Antenas Fabry-Pérot con apertura uniforme y mejora del ancho de banda,” 
XXXIX National Symposium URSI Spain, Cuenca, Sep. 2024. 
Access: https://hdl.handle.net/10630/34660"
2024,"A. Hernández-Escobar, and T. Tomura, 
“Substrate-Integrated Inverted-L Monopole Array for Sub-THz High-Coverage Mobile Communications,” 
IEEE International Symposium on Antennas and Propagation (ISAP), Incheon (Republic of Korea), Nov. 2024"
2024,"A. Hernández-Escobar, E. Abdo-Sánchez, F. J. Mata-Contreras, T. M. Martín-Guerrero, J. H. Itokazu, O. Boric-Lubecke, V. M. Lubecke, 
“Polarization-Agile Antenna for Physiological Radar Monitoring Systems,” 
International Microwave & Antennas Symposium (IMAS 2024), Marrakech (Morocco), Oct. 2024"
2024,"A. Hernández-Escobar, F. Mesa, J. Esteban, E. Abdo-Sánchez, T. M. Martín-Guerrero, and C. Camacho-Peñalosa, 
“Analytical Equivalent Circuit for Cross-Strip Scatterers by Using an Eigenstate Approach,” 
European Microwave Conference 2024, Paris, Sep. 2024"
2024,"A. Hernández-Escobar, and T. Tomura, 
“Monopolo en forma de L invertida con radiación semiisotrópica para comunicaciones móviles en la banda de las milimétricas,” 
XXXIX Simposium Nacional de la Unión Científica Internacional de Radio (URSI), Cuenca (Spain), Sep. 2024"
2024,"A. Hernández-Escobar and T. Tomura, 
""High-Coverage Inverted-L Monopole for Mobile Communications,"" 
IEEE INC-USNC-URSI Radio Science Meeting (Joint with AP-S Symposium), Florence (Italy), Jul. 2024, pp. 302-302"
